DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
28.0,24.0,55.0,49.5,21.7,7.87,2.9,1.68,0.0005,0.014,2.0199999999999996,SMITHS FALLS  DRINKING WATER SYSTEM,20170808,2017
2.3,1.4,4.7,8.4,19.3,8.01,1.6,0.9666666666666668,0.0005,0.011,3.58,SOUTH HALTON DRINKING WATER SYSTEM - BURLINGTON,20170829,2017
2.6,0.375,3.7,1.8,6.5,7.92,1.6,0.9,0.0005,0.017,3.44,SOUTH HALTON DRINKING WATER SYSTEM - BURLINGTON,20171212,2017
0.62,0.375,6.6,13.1,14.0,8.09,0.6,0.9866666666666667,0.0005,0.0025,2.0199999999999996,SOUTH HALTON DRINKING WATER SYSTEM - MILTON,20170403,2017
0.56,0.375,3.5,10.4,13.0,8.09,1.0,1.0999999999999999,0.0005,0.0025,2.0199999999999996,SOUTH HALTON DRINKING WATER SYSTEM - MILTON,20170620,2017
0.15,0.375,0.5,0.05,7.0,8.11,0.7,0.8866666666666667,0.0005,0.0025,2.0199999999999996,SOUTH HALTON DRINKING WATER SYSTEM - MILTON,20170620,2017
0.88,0.93,1.8,6.7,7.9,8.02,1.9,1.0533333333333335,0.0005,0.0025,4.42,SOUTH HALTON DRINKING WATER SYSTEM - OAKVILLE,20170704,2017
2.6,3.1,7.3,11.9,5.0,7.94,1.7,0.8666666666666667,0.0005,0.0025,2.82,SOUTH PEEL DRINKING WATER SYSTEM - LAKEVIEW,20170410,2017
2.2,2.5,6.2,9.4,5.6,7.98,1.7,0.88,0.0005,0.0025,2.44,SOUTH PEEL DRINKING WATER SYSTEM - LAKEVIEW,20170410,2017
1.2,1.3,4.0,13.9,15.8,8.23,1.7,0.9400000000000001,0.0005,0.0025,3.57,SOUTH PEEL DRINKING WATER SYSTEM - LORNE PARK,20170710,2017
3.4,2.2,6.7,21.6,19.5,8.03,1.8,1.0,0.002,0.009,4.94,SOUTH PEEL DRINKING WATER SYSTEM - LORNE PARK,20170918,2017
