Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,7777,0.0,0.4378817642082621,0.20874467081594075,0.3169460967710113,0.921707151465724,0.7314074190738127,0.3303628990070555,0.32025341716003497,-0.04435552261120668,0.4440591126081457,0.5344105776910275,177466,0.75,0.05000000074505806,0.0,,,,
original,7777,0.01,0.43728996335044484,0.213631357000006,0.3184513597041839,0.9197051182769744,0.730588188547127,0.3193133574311535,0.30862738608826457,-0.041148211842645166,0.4678268730048115,0.5376373938393362,177466,0.699999988079071,0.05000000074505806,0.0,,,,
original,7777,0.05,0.4292136662046673,0.22216956758214762,0.31260963974609324,0.9347972704037304,0.7289105930498796,0.29149629259775733,0.26767159455010914,-0.023245205843264838,0.4840622233135714,0.5430632941122936,177466,0.44999998807907104,0.05000000074505806,0.0,,,,
original,7777,0.1,0.44420887907534523,0.2232177607998632,0.3316694681973341,0.9044363705078016,0.7195064884201214,0.305071928226451,0.27613442340780203,-0.014978673480218863,0.5177301954219904,0.5743894674106467,177466,0.4000000059604645,0.05000000074505806,0.0,,,,
original,7777,0.5,0.4523791808360846,0.2343634573848949,0.319365267791622,0.9469008297742081,0.7130839829212505,0.18340779635868487,0.21082639234430767,0.08931792515439485,0.5305942126294388,0.5826800124712839,177466,0.15000000596046448,0.10000000149011612,0.0,,,,
original,7777,1.0,0.37828449896951116,0.1921410456471035,0.24116475586757216,1.086824829191146,0.7568855476672101,0.051902517367807266,0.03695454436741197,0.09865115324694385,0.4528029042571343,0.5655126600985643,177466,0.15000000596046448,0.05000000074505806,0.0,,,,
original,9999,0.0,0.9058576141533518,0.2091366525914749,0.44385341756652874,1.39145567752451,0.6582930982074862,0.6114144801005681,0.4655271263441705,0.021407708950597404,0.5629643564686637,0.5579534159686441,177466,0.800000011920929,0.0,0.0,,,,
original,9999,0.01,0.9026935095290826,0.19611011203967316,0.44867985441292985,1.3903601010065623,0.6579993247638882,0.6183728566999898,0.47431979059316587,0.017660940941359393,0.5675676874308644,0.56547799639927,177466,0.75,0.0,0.0,,,,
original,9999,0.05,0.9048152239908432,0.20324516887855296,0.4411359079188452,1.407469221049829,0.6636197343038107,0.6087932273324577,0.473239636400119,0.00619215791740324,0.5627555821990748,0.5546989357451715,177466,0.4000000059604645,0.0,0.0,,,,
original,9999,0.1,0.8986184231044068,0.17442871103555785,0.44292206466165496,1.4044667900022552,0.6637608490330216,0.6077625017941215,0.4710251829569314,0.007656032451039185,0.5713047176524024,0.5568618884537802,177466,0.15000000596046448,0.0,0.0,,,,
original,9999,0.5,0.8219030759473596,0.15772773127502437,0.40326887035235937,1.4843555909980413,0.701401719840387,0.5336489894727559,0.4489164167988997,-0.042925860125602844,0.532157482450502,0.5445473231652413,177466,0.10000000149011612,0.0,0.0,,,,
original,9999,1.0,0.8065713749151124,0.14792594400614967,0.4091589325021153,1.4622515686855526,0.7057000077876784,0.5344113712589151,0.4500292445567591,-0.024434840126549284,0.5350437919986678,0.5507450948227834,177466,0.0,0.0,0.0,,,,
ontario,42,0.0,0.8867051183892865,0.5272159114207781,0.6864480908937842,0.2681805346633399,0.36098130899708114,,,,,,134985,0.1320754736661911,,0.11320754885673523,0.7056344716849687,0.6570428828303136,0.7361251230510215,0.6469898860088327
ontario,42,0.01,0.8869954671777234,0.529236414651646,0.6867283079387853,0.2679290795976607,0.36073805149487986,,,,,,134985,0.09433962404727936,,0.09433962404727936,0.7063746932951073,0.6565623266970373,0.7358257277304958,0.6481504840325003
ontario,42,0.05,0.8877702578014022,0.526792520643498,0.6872906258847504,0.2673713824101933,0.3590823618464599,,,,,,134985,0.056603774428367615,,0.07547169923782349,0.7087550850372804,0.6574812040691662,0.7354097463644507,0.6475164680681043
