Dataset,Seed,Fraction,N_train,Model,Test R2
original,7777,0.3,14,Explainable Model,0.11374242165108324
original,7777,0.45,21,Random Forest,0.21436704424702052
original,7777,0.45,21,Support Vector Regression,-0.08369495249966245
original,7777,0.45,21,XGBoost,0.0654164089135689
original,7777,0.45,21,Explainable Model,0.0986237357674576
original,7777,0.6,28,Random Forest,0.28632065818764857
original,7777,0.6,28,Support Vector Regression,0.3411464591579706
original,7777,0.6,28,XGBoost,0.008911129502458315
original,7777,0.6,28,Explainable Model,0.37602485067465274
original,7777,0.75,34,Random Forest,0.27297131973467825
original,7777,0.75,34,Support Vector Regression,0.17997285909899402
original,7777,0.75,34,XGBoost,-0.016553781005955857
original,7777,0.75,34,Explainable Model,-0.13660191601133181
original,7777,0.9,41,Random Forest,0.45495908839794535
original,7777,0.9,41,Support Vector Regression,0.4089255485766696
original,7777,0.9,41,XGBoost,0.301096883140219
original,7777,0.9,41,Explainable Model,0.5850112882250414
original,7777,1.0,46,Random Forest,0.4601319590201934
original,7777,1.0,46,Support Vector Regression,0.37693462697330443
original,7777,1.0,46,XGBoost,0.4023929488457867
original,7777,1.0,46,Explainable Model,0.4464787512354951
original,9999,0.3,14,Random Forest,-0.18657783827141589
original,9999,0.3,14,Support Vector Regression,0.21831909288613974
original,9999,0.3,14,XGBoost,-0.6366256877990503
original,9999,0.3,14,Explainable Model,0.3254303043732981
original,9999,0.45,21,Random Forest,0.1248738711402092
original,9999,0.45,21,Support Vector Regression,0.21654662414584633
original,9999,0.45,21,XGBoost,-0.270340685546473
original,9999,0.45,21,Explainable Model,0.06891906567163966
original,9999,0.6,28,Random Forest,0.3976302072223485
original,9999,0.6,28,Support Vector Regression,0.3652044873232898
original,9999,0.6,28,XGBoost,-0.13796387825055317
original,9999,0.6,28,Explainable Model,0.35953128525206673
original,9999,0.75,34,Random Forest,0.3835360841111378
original,9999,0.75,34,Support Vector Regression,0.1230424039572525
original,9999,0.75,34,XGBoost,0.23381375878682187
original,9999,0.75,34,Explainable Model,0.22401833745404912
original,9999,0.9,41,Random Forest,0.3481076196377046
original,9999,0.9,41,Support Vector Regression,0.42361867638480205
original,9999,0.9,41,XGBoost,0.30009045887101654
original,9999,0.9,41,Explainable Model,0.5335354462634433
original,9999,1.0,46,Random Forest,0.44275283421755374
original,9999,1.0,46,Support Vector Regression,0.4649055254346585
original,9999,1.0,46,XGBoost,0.13095411068703408
original,9999,1.0,46,Explainable Model,0.4758258220198197
